User Query,Action,Amount,Recipient
Pay my phone bill,Pay bill,4567.0,phone
Move 1213 ZAR to investment,Transfer money,1213.0,investment
Pay my rent bill,Pay bill,3836.0,rent
I need to pay 1262 ZAR for my rent,Pay bill,1262.0,rent
Check my balance,Check balance,,
Transfer 7097 ZAR to Mike,Send money,7097.0,Mike
Can I get a loan for 43524 ZAR?,Apply for loan,43524.0,
Transfer 6404 ZAR to Jane,Send money,6404.0,Jane
Pay 3522 ZAR for electricity,Pay bill,3522.0,electricity
Pay my rent bill,Pay bill,2406.0,rent
Pay my phone bill,Pay bill,2344.0,phone
Move 8364 ZAR to checking,Transfer money,8364.0,checking
Send 8443 ZAR to checking,Transfer money,8443.0,checking
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
Pay 1286 ZAR for internet,Pay bill,1286.0,internet
I want to borrow 25201 ZAR,Apply for loan,25201.0,
What is my loan balance?,Check loan,,
Pay my electricity bill,Pay bill,4640.0,electricity
Check my balance,Check balance,,
What is my current balance?,Check balance,,
I want to send 7368 ZAR to David,Send money,7368.0,David
Move 4535 ZAR to investment,Transfer money,4535.0,investment
Apply for a loan of 8960 ZAR,Apply for loan,8960.0,
Pay 980 ZAR for phone,Pay bill,980.0,phone
Apply for a loan of 1630 ZAR,Apply for loan,1630.0,
I need to pay 2110 ZAR for my rent,Pay bill,2110.0,rent
Send 1522 ZAR to Jane,Send money,1522.0,Jane
Apply for a loan of 33181 ZAR,Apply for loan,33181.0,
Check my balance,Check balance,,
Transfer 5003 ZAR to my savings,Transfer money,5003.0,savings
I need to pay 1539 ZAR for my phone,Pay bill,1539.0,phone
Can I get a loan for 15061 ZAR?,Apply for loan,15061.0,
Check my loan status,Check loan,,
Send 5476 ZAR to investment,Transfer money,5476.0,investment
What is my current balance?,Check balance,,
Pay 341 ZAR for internet,Pay bill,341.0,internet
Pay 787 ZAR for electricity,Pay bill,787.0,electricity
Send 3578 ZAR to savings,Transfer money,3578.0,savings
How much do I owe on my loan?,Check loan,,
Can I get a loan for 27463 ZAR?,Apply for loan,27463.0,
Transfer 2655 ZAR to Emma,Send money,2655.0,Emma
Send 640 ZAR to Jane,Send money,640.0,Jane
Transfer 9951 ZAR to Jane,Send money,9951.0,Jane
Check my balance,Check balance,,
What is my loan balance?,Check loan,,
Move 8312 ZAR to investment,Transfer money,8312.0,investment
Pay my rent bill,Pay bill,778.0,rent
Pay my phone bill,Pay bill,2590.0,phone
Send 7018 ZAR to David,Send money,7018.0,David
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
How much money do I have?,Check balance,,
Apply for a loan of 28111 ZAR,Apply for loan,28111.0,
Apply for a loan of 33822 ZAR,Apply for loan,33822.0,
How much do I owe on my loan?,Check loan,,
Apply for a loan of 26945 ZAR,Apply for loan,26945.0,
Move 2521 ZAR to savings,Transfer money,2521.0,savings
Pay my rent bill,Pay bill,1899.0,rent
Transfer 1370 ZAR to my investment,Transfer money,1370.0,investment
I want to send 4103 ZAR to Sarah,Send money,4103.0,Sarah
What is my current balance?,Check balance,,
How much do I owe on my loan?,Check loan,,
I want to borrow 30622 ZAR,Apply for loan,30622.0,
I want to send 4146 ZAR to Mike,Send money,4146.0,Mike
What is my current balance?,Check balance,,
Transfer 1785 ZAR to David,Send money,1785.0,David
Transfer 5857 ZAR to my investment,Transfer money,5857.0,investment
Check my loan status,Check loan,,
Transfer 2593 ZAR to my checking,Transfer money,2593.0,checking
Transfer 9451 ZAR to Sarah,Send money,9451.0,Sarah
How much money do I have?,Check balance,,
I want to borrow 33042 ZAR,Apply for loan,33042.0,
How much do I owe on my loan?,Check loan,,
Send 4725 ZAR to investment,Transfer money,4725.0,investment
Pay my internet bill,Pay bill,3907.0,internet
Pay my rent bill,Pay bill,3354.0,rent
I want to borrow 15901 ZAR,Apply for loan,15901.0,
I need to pay 2961 ZAR for my phone,Pay bill,2961.0,phone
Apply for a loan of 25130 ZAR,Apply for loan,25130.0,
I want to borrow 22256 ZAR,Apply for loan,22256.0,
I need to pay 1652 ZAR for my rent,Pay bill,1652.0,rent
Transfer 4963 ZAR to my savings,Transfer money,4963.0,savings
Transfer 2816 ZAR to my savings,Transfer money,2816.0,savings
Transfer 4310 ZAR to Mike,Send money,4310.0,Mike
Send 9463 ZAR to Emma,Send money,9463.0,Emma
Can I get a loan for 45249 ZAR?,Apply for loan,45249.0,
I need to pay 2636 ZAR for my rent,Pay bill,2636.0,rent
Transfer 1886 ZAR to Jane,Send money,1886.0,Jane
Pay my rent bill,Pay bill,3739.0,rent
What is my current balance?,Check balance,,
Pay 4065 ZAR for phone,Pay bill,4065.0,phone
Transfer 2325 ZAR to my savings,Transfer money,2325.0,savings
Apply for a loan of 18801 ZAR,Apply for loan,18801.0,
Transfer 6553 ZAR to Jane,Send money,6553.0,Jane
Check my loan status,Check loan,,
Check my balance,Check balance,,
Move 5558 ZAR to savings,Transfer money,5558.0,savings
Check my loan status,Check loan,,
How much do I owe on my loan?,Check loan,,
Can I get a loan for 35881 ZAR?,Apply for loan,35881.0,
Transfer 3058 ZAR to Sarah,Send money,3058.0,Sarah
I need to pay 2604 ZAR for my electricity,Pay bill,2604.0,electricity
I need to pay 3163 ZAR for my electricity,Pay bill,3163.0,electricity
Apply for a loan of 4713 ZAR,Apply for loan,4713.0,
Check my loan status,Check loan,,
Move 6063 ZAR to checking,Transfer money,6063.0,checking
Transfer 5168 ZAR to my investment,Transfer money,5168.0,investment
Send 8664 ZAR to savings,Transfer money,8664.0,savings
What is my current balance?,Check balance,,
I want to borrow 13840 ZAR,Apply for loan,13840.0,
Pay 2484 ZAR for rent,Pay bill,2484.0,rent
I want to send 7474 ZAR to Sarah,Send money,7474.0,Sarah
Apply for a loan of 26568 ZAR,Apply for loan,26568.0,
Send 5118 ZAR to investment,Transfer money,5118.0,investment
I want to borrow 5111 ZAR,Apply for loan,5111.0,
I want to send 9093 ZAR to Sarah,Send money,9093.0,Sarah
Move 676 ZAR to checking,Transfer money,676.0,checking
I need to pay 1414 ZAR for my electricity,Pay bill,1414.0,electricity
Check my loan status,Check loan,,
I need to pay 3877 ZAR for my electricity,Pay bill,3877.0,electricity
Move 6869 ZAR to savings,Transfer money,6869.0,savings
Send 3767 ZAR to savings,Transfer money,3767.0,savings
What is my current balance?,Check balance,,
Pay 3653 ZAR for electricity,Pay bill,3653.0,electricity
Transfer 2123 ZAR to Mike,Send money,2123.0,Mike
Apply for a loan of 43383 ZAR,Apply for loan,43383.0,
Can I get a loan for 6136 ZAR?,Apply for loan,6136.0,
Check my loan status,Check loan,,
Apply for a loan of 3561 ZAR,Apply for loan,3561.0,
Check my loan status,Check loan,,
Send 6129 ZAR to savings,Transfer money,6129.0,savings
Move 9540 ZAR to savings,Transfer money,9540.0,savings
What is my current balance?,Check balance,,
Pay 868 ZAR for phone,Pay bill,868.0,phone
I need to pay 675 ZAR for my water,Pay bill,675.0,water
Apply for a loan of 49282 ZAR,Apply for loan,49282.0,
Apply for a loan of 6122 ZAR,Apply for loan,6122.0,
I want to send 9097 ZAR to John,Send money,9097.0,John
Send 7691 ZAR to savings,Transfer money,7691.0,savings
I need to pay 2909 ZAR for my internet,Pay bill,2909.0,internet
Check my balance,Check balance,,
I want to send 4758 ZAR to David,Send money,4758.0,David
Transfer 4979 ZAR to David,Send money,4979.0,David
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
How much money do I have?,Check balance,,
Send 891 ZAR to checking,Transfer money,891.0,checking
Pay my phone bill,Pay bill,4642.0,phone
I want to borrow 21126 ZAR,Apply for loan,21126.0,
Send 8902 ZAR to investment,Transfer money,8902.0,investment
Transfer 3203 ZAR to Emma,Send money,3203.0,Emma
Send 3189 ZAR to Mike,Send money,3189.0,Mike
I need to pay 1032 ZAR for my phone,Pay bill,1032.0,phone
Transfer 5034 ZAR to my checking,Transfer money,5034.0,checking
What is my loan balance?,Check loan,,
How much money do I have?,Check balance,,
Can I get a loan for 21544 ZAR?,Apply for loan,21544.0,
Can I get a loan for 3275 ZAR?,Apply for loan,3275.0,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
Can I get a loan for 10046 ZAR?,Apply for loan,10046.0,
I need to pay 2313 ZAR for my electricity,Pay bill,2313.0,electricity
How much do I owe on my loan?,Check loan,,
I want to send 3151 ZAR to Sarah,Send money,3151.0,Sarah
Pay 3545 ZAR for rent,Pay bill,3545.0,rent
Transfer 7062 ZAR to Emma,Send money,7062.0,Emma
Apply for a loan of 43023 ZAR,Apply for loan,43023.0,
How much money do I have?,Check balance,,
I need to pay 754 ZAR for my electricity,Pay bill,754.0,electricity
How much do I owe on my loan?,Check loan,,
Check my balance,Check balance,,
What is my loan balance?,Check loan,,
Apply for a loan of 28538 ZAR,Apply for loan,28538.0,
Pay my electricity bill,Pay bill,2139.0,electricity
Transfer 1437 ZAR to my savings,Transfer money,1437.0,savings
Check my loan status,Check loan,,
Check my balance,Check balance,,
Move 367 ZAR to savings,Transfer money,367.0,savings
Move 6445 ZAR to savings,Transfer money,6445.0,savings
Pay 1557 ZAR for electricity,Pay bill,1557.0,electricity
How much money do I have?,Check balance,,
Transfer 9417 ZAR to my checking,Transfer money,9417.0,checking
I need to pay 4608 ZAR for my internet,Pay bill,4608.0,internet
What is my current balance?,Check balance,,
I need to pay 2935 ZAR for my electricity,Pay bill,2935.0,electricity
Transfer 8326 ZAR to John,Send money,8326.0,John
I want to send 399 ZAR to Emma,Send money,399.0,Emma
What is my current balance?,Check balance,,
Send 5292 ZAR to checking,Transfer money,5292.0,checking
Send 4082 ZAR to Sarah,Send money,4082.0,Sarah
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
Can I get a loan for 20953 ZAR?,Apply for loan,20953.0,
I want to send 5894 ZAR to Mike,Send money,5894.0,Mike
Apply for a loan of 6325 ZAR,Apply for loan,6325.0,
Pay my phone bill,Pay bill,2186.0,phone
Can I get a loan for 41314 ZAR?,Apply for loan,41314.0,
What is my current balance?,Check balance,,
Transfer 5168 ZAR to Sarah,Send money,5168.0,Sarah
Transfer 2410 ZAR to Jane,Send money,2410.0,Jane
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
Pay my phone bill,Pay bill,4923.0,phone
Move 5117 ZAR to investment,Transfer money,5117.0,investment
How much money do I have?,Check balance,,
What is my current balance?,Check balance,,
How much money do I have?,Check balance,,
Pay my water bill,Pay bill,781.0,water
I need to pay 3967 ZAR for my phone,Pay bill,3967.0,phone
I want to borrow 18577 ZAR,Apply for loan,18577.0,
Pay my electricity bill,Pay bill,2205.0,electricity
Can I get a loan for 44849 ZAR?,Apply for loan,44849.0,
Transfer 6587 ZAR to my investment,Transfer money,6587.0,investment
Pay 1812 ZAR for electricity,Pay bill,1812.0,electricity
Check my loan status,Check loan,,
How much money do I have?,Check balance,,
Pay 2201 ZAR for phone,Pay bill,2201.0,phone
Send 3691 ZAR to investment,Transfer money,3691.0,investment
What is my current balance?,Check balance,,
Move 3962 ZAR to investment,Transfer money,3962.0,investment
Transfer 8353 ZAR to my checking,Transfer money,8353.0,checking
I want to borrow 43828 ZAR,Apply for loan,43828.0,
Send 7422 ZAR to savings,Transfer money,7422.0,savings
Send 3282 ZAR to Mike,Send money,3282.0,Mike
Transfer 6525 ZAR to John,Send money,6525.0,John
Move 6901 ZAR to investment,Transfer money,6901.0,investment
What is my loan balance?,Check loan,,
I need to pay 4189 ZAR for my electricity,Pay bill,4189.0,electricity
Check my loan status,Check loan,,
Move 2540 ZAR to checking,Transfer money,2540.0,checking
Pay 2975 ZAR for rent,Pay bill,2975.0,rent
Apply for a loan of 1910 ZAR,Apply for loan,1910.0,
How much do I owe on my loan?,Check loan,,
Check my balance,Check balance,,
How much money do I have?,Check balance,,
Can I get a loan for 15150 ZAR?,Apply for loan,15150.0,
I want to borrow 49090 ZAR,Apply for loan,49090.0,
I want to borrow 9775 ZAR,Apply for loan,9775.0,
I want to borrow 4099 ZAR,Apply for loan,4099.0,
I want to borrow 34404 ZAR,Apply for loan,34404.0,
Check my balance,Check balance,,
Send 9181 ZAR to investment,Transfer money,9181.0,investment
How much money do I have?,Check balance,,
Pay 1263 ZAR for water,Pay bill,1263.0,water
Transfer 4804 ZAR to Emma,Send money,4804.0,Emma
Transfer 2315 ZAR to Mike,Send money,2315.0,Mike
Move 6551 ZAR to checking,Transfer money,6551.0,checking
Check my balance,Check balance,,
How much money do I have?,Check balance,,
How much money do I have?,Check balance,,
Send 5737 ZAR to Mike,Send money,5737.0,Mike
I want to send 4036 ZAR to Jane,Send money,4036.0,Jane
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
Pay 1193 ZAR for phone,Pay bill,1193.0,phone
